"115年03月16日 大盤統計資訊"
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","695,843,474,898","6,370,331,743","4,063,593",
"2.台灣存託憑證","70,511,155","11,112,798","2,347",
"3.受益憑證","0","0","0",
"4.ETF","55,581,861,649","2,164,466,338","692,345",
"5.受益證券","3,551,809","320,500","79",
"6.變更交易股票","30,803,440","2,860,555","1,846",
"7.認購(售)權證","2,803,529,650","2,445,939,000","99,893",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"13.ETN","2,921,590","426,000","58",
"14.創新板股票","1,083,694,074","6,669,791","10,314",
"15.創新板-變更交易方法股票","0","0","0",
"證券合計(1+6+14+15)","696,957,972,412","6,379,862,089","4,075,753",
"總計(1~15)","755,420,348,265","11,002,126,725","4,870,475",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","5,457(410)","532(38)",
"下跌(跌停)","5,590(122)","459(3)",
"持平","677","74",
"未成交","19,815","2",
"無比價","3,000","1",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",

