"公司代號","公司名稱","召開法人說明會日期","召開法人說明會時間","召開法人說明會地點","法人說明會擇要訊息","法人說明會簡報內容-中文","法人說明會簡報內容-英文","公司網站是否有提供法人說明會相關資訊","影音連結資訊","其他應敘明事項","歷年法人說明會"
"1799","易威","115/04/16","14:30","富邦人壽大樓國際會議中心C廳(台北市敦化南路1段108號B2)","本公司營運近況及未來展望說明","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://www.easywellbio.com/zh-tw/activity_new.php",法說會影音連結資訊:未輸 ,"無","查詢"
"3290","東浦","115/04/08","14:30","台北市松山區民生東路三段156號11F(群益金鼎證券11F會議室)","本公司自辦法人說明會，說明本公司營運概況及未來展望。 報
名連結：https://www.surveycake.com/s/W2rnD","329020260408M001.pdf","329020260408E001.pdf","https://www.donpon.com/",中文影音檔網址:3290_5_20260408_ch.MP4 ,"完整財務業務資訊請至公開資訊觀測站之法人說明 會一覽表 或法說會項目下查閱。","查詢"
"3484","崧騰","115/04/08","14:30","KGI凱基證券總部大樓(台北市明水路700號12樓)","本公司受凱基證券邀請參加法說會，主要內容為公司營運概況","348420260407M004.pdf","348420260407E004.pdf","https://www.solteam.com.tw/index.php?route=investor/meeting",中文影音檔網址:3484_12_20260408_ch.mp4 英文影音檔網址:3484_12_20260408_en.mp4 ,"無","查詢"
"3529","力旺","115/04/14 至 115/04/16","09:00","Island Shangri-La Hotel Hong Kong","本公司受邀參加HSBC舉辦之HSBC Global Summit 2026說明本公司財務及業務相關資訊。","352920260408M001.pdf","352920260408E001.pdf","","","會議簡報等資料將依規定於期限前揭露於公開資訊觀測站。","查詢"
"4147","中裕","115/04/14 至 115/04/15","14:00","The Fullerton Hotel, Singapore","本公司受邀參加寬量國際主辦之「19th QIC CEO Week」，說明本公司之營運概況、財務及業務相關資訊","414720260209M001.pdf","414720260209E001.pdf","https://www.taimedbiologics.com/","","完整財務業務資訊請至公開資訊觀測站之法人說明會一覽表或法說會項目下查閱。","查詢"
"4966","譜瑞-KY","115/04/22","14:00","線上法說會","譜瑞科技股份有限公司(股票代號: 4966) 西元2026年第一季線上法人
說明會將於西元2026年4月22日下午2點(台北時間)舉行，有關會議大綱如下:

-	公佈公司西元2026年第一季營運成果與西元2026年第二季營運展望
-	問與答

有意參加者可透過網路連結參加線上法人說明會。欲提問之分析師或媒體請撥打下列
電話號碼參加會議。

電話法人說明會撥打號碼:
台灣: 02-3396-1191
香港: 2112-1444 (免費電話)
美國: 1-800-811-0860 (免費電話)
英國: 0800-068-8186 (免費電話)
日本: 00-531-440-156 (免費電話)
新加坡: 800-492-2072 (免費電話)
國際線: +886-2-3396-1191
電話接通後，請按密碼: 1905029#

網路直播: https://www.zucast.com/webcast/RWmAUH97

本公司西元2026年第一季營運成果新聞稿，您可以於法人說明會前約20分鐘至公開
資訊觀測站下載。

關於譜瑞科技股份有限公司

譜瑞科技股份有限公司為一專供多種普及顯示器以及個人電腦、消費性電子產品與
顯示面板所使用之高速訊號傳輸介面標準之混和訊號IC晶片之領導供應商。譜瑞公司
成立於西元2005年為一無自有晶圓廠之半導體公司，並於西元2011年股票在台灣櫃檯
買賣中心正式掛牌交易(股票代號: 4966)。譜瑞公司的IC晶片產品組合可支援顯示產
品，儲存設備以及介面應用所使用之HDMI, DisplayPort, SATA, 與 USB 等傳輸
介面規範之IC晶片成長需求。
除了成為科技的創新者，譜瑞公司亦為產業標準制定組織之領導者與積極參與者。
Parade Technologies, Inc. 為譜瑞公司100%擁有之美國子公司，目前為視訊電子
標準協會會員(簡稱VESA)，並為視訊電子標準協會推動DisplayPort數位式視訊
介面標準之主要貢獻者。
譜瑞公司憑藉其與市場首屈一指之系統製造領導廠商之緊密合作關係，以研發能提供
獨特系統性能之IC晶片。許多譜瑞公司的裝置整合智財技術能提供優越的系統訊號整
合、先進的系統整合以及提升耗電效率。在譜瑞公司”比標準更好”的設計理念下，
幾乎所有世界領導的個人電腦製造商與顯示器供應商均有採用譜瑞公司的IC晶片於
其產品中。


投資人關係: 
張祐銘 先生
ir@paradetech.com
+886.2.2627.9109","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://www.paradetech.com",法說會影音連結資訊:未輸 ,"無。","查詢"
"5457","宣德","115/04/09","14:30","台北市中山區明水路700號12樓會議廳(凱基證券大樓)","受凱基證券邀請","545720260409M001.pdf","545720260409E001.pdf","https://www.speedtech.com.tw/investor-meetings-ch/",中文影音檔網址:5457_19_20260409_ch.mp4 ,"無","查詢"
"6190","萬泰科","115/04/14 至 115/04/16","09:00","新加坡Fullerton Hotel","本公司受邀參加寬量國際主辦之「19th QIC CEO Week」，向投資人說明本公司之營運概況、財務及業務相關資訊。","619020260331M001.pdf","619020260331E001.pdf","",法說會影音連結資訊:未輸 ,"無","查詢"
"6546","正基","115/04/09","14:00","KGI凱基證券總部大樓（台北市明水路700號12樓）","本公司受邀參加凱基證券公司舉辦之法人說明會，說明本公司財務及營運狀況。","654620260409M001.pdf","654620260409E001.pdf","https://www.ampak.com.tw/tw/investor/earningscall",中文影音檔網址:6546_11_20260409_ch.mp4 ,"完整財務業務資訊請至公開資訊觀測站之法人說明會一覽表或法說會項目下查閱。","查詢"
"6584","南俊國際","115/04/16","09:00","香港港島香格里拉飯店","公告本公司受邀參加由�擢袘�行舉辦之「HSBC Global Investment Summit 2026」，說明本公司財務及業務相關資訊。","658420241118M001.pptx","658420241118E001.pptx","https://www.repongroup.com/tw/legal","","會議簡報等資料將依規定於期限前揭露於公開資訊觀測站。","查詢"
"6620","漢達","115/04/14","14:30","(1)實體法說會：台北市中山區長安東路一段35號2樓
(2)線上法說會：Webex線上法說會","(1)本公司受邀參加第一金證券舉辦之實體暨線上法人說明會，期望藉此活動讓投資人了解本公司2025年之營運成果及2026年發展策略。

(2)本次會議採線上報名：

實體法說會報名連結：https://www.surveycake.com/s/LOeD2

線上法說會報名連結：https://firstsec.webex.com/weblink/register/rcb28f358759f460a7ab88ebb593c89bb","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://handapharma.com.tw/zh/",法說會影音連結資訊:未輸 ,"無","查詢"
