"公司代號","公司名稱","召開法人說明會日期","召開法人說明會時間","召開法人說明會地點","法人說明會擇要訊息","法人說明會簡報內容-中文","法人說明會簡報內容-英文","公司網站是否有提供法人說明會相關資訊","影音連結資訊","其他應敘明事項","歷年法人說明會"
"1477","聚陽","115/04/01","14:00","國票證券(台北市南京東路5段188號15樓)","介紹本公司之營運概況及經營策略等財務業務相關資料","147720260316M001.pdf","147720260316E001.pdf","http://www.makalot.com.tw",中文影音檔網址:1477_328_20260401_ch.mp3 ,"無","查詢"
"1504","東元","115/04/16","15:30","集思北科大會議中心","本公司受邀參加凱基證券舉辦之2026投資論壇，
並就本公司營運狀況做一說明。","150420260312M001.pdf","150420260312E001.pdf","https://www.teco.com.tw/announce","","無。","查詢"
"1590","亞德客-KY","115/04/15 至 115/04/16","09:00","香港","本公司受邀參加香港上海匯豐證券舉辦之法人說明會「Global Investment Summit」，說明本公司2025年第4季之營運概況。","159020260303M003.pdf","159020260303E003.pdf","https://as-tw.airtac.com/about.aspx?c_kind=5&amp;c_kind2=134&amp;c_kind3=311","","無","查詢"
"1590","亞德客-KY","115/04/29","16:00","線上法說會","受邀參加瑞銀證券舉辦之線上法說會「1Q26 Results Conference Call」，說明本公司2026年第1季營運狀況。","159020260303M003.pdf","159020260303E003.pdf","https://as-tw.airtac.com/about.aspx?c_kind=5&amp;c_kind2=134&amp;c_kind3=311","","無","查詢"
"1598","岱宇","115/04/14 至 115/04/16","09:00","新加坡Fullerton Hotel","本公司受邀參加寬量國際於新加坡主辦之「19th QIC CEO Week」， 說明本公司營運概況、財務及業務相關資訊。","內容檔案於會前非交易時間公告於公開資訊觀測站","內容檔案於會前非交易時間公告於公開資訊觀測站","https://dyaco.com/zh-hant/investors/investors-news","","無","查詢"
"1609","大亞","115/04/01","14:00","線上法人說明會","本公司受邀參加華南永昌證券於115年4月1日舉辦之線上法人說明會，說明本公司營運概況。","160920260401M001.pdf","160920260401E001.pdf","https://www.taya.com.tw/msg/message-%E6%B3%95%E4%BA%BA%E8%AA%AA%E6%98%8E%E6%9C%83-122.html",法說會影音連結資訊:https://www.taya.com.tw/msg/msg647.html ,"無","查詢"
"2301","光寶科","115/04/14 至 115/04/15","09:00","香港 Conrad Hotel","受邀參加 HSBC Global Investment Summit","230120260225M004.pdf","230120260225E004.pdf","https://www.liteon.com/zh-tw","","無","查詢"
"2308","台達電","115/04/14 至 115/04/16","13:00","香港","本公司受匯豐證券邀請，將於上述時間地點，向法人投資者說明本公司114年第4季之財務報告相關資訊。","230820260226M001.pdf","230820260226E001.pdf","https://www.deltaww.com/zh-TW/investors/analyst-meeting","","無","查詢"
"2317","鴻海","115/03/30 至 115/04/10","11:00","台北市內湖區基湖路32號、台北文創、台北市重慶南路一段2號","115年3月30日受SIG邀請參加投資人會議，說明本公司營運概況。
115年3月31日受元富證券邀請參加投資人會議，說明本公司營運概況。
115年4月10日受永豐證券邀請參加投資人會議，說明本公司ESG進展與展望。","231720260316M001.pdf","231720260316E001.pdf","","","無","查詢"
"2327","國巨*","115/04/15","16:00","線上電話會議","本公司於115/04/15受邀參加由摩根士丹利證券舉辦之線上法說會，說明115年第一季
營運成果，並就公司營運展望及產業概況向投資機構做說明。","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","www.yageo.com/zh-TW/Download/Index/investor_conference#bottom_link_title","","公司網站www.yageo.com/zh-TW/Download/Index/investor_conference#bottom_link_title","查詢"
"2328","廣宇","115/04/14 至 115/04/16","09:00","新加坡Fullerton Hotel (1 Fullerton Sq, Singapore 049178)","本公司受邀參加115年4月14日至115年4月16日由寬量國際主辦之「19th QIC CEO Week」，說明本公司之營運概況、財務及業務相關資訊。","內容檔案於會前非交易時間公告於公開資訊觀測站","內容檔案於會前非交易時間公告於公開資訊觀測站","https://www.panpi.com.tw/tw/investor_service/corporate_governance/investor_meeting","","法人說明會開會前會將相關簡報資料輸入公開資訊觀測站。","查詢"
"2330","台積電","115/04/16","14:00","線上法說會","(1)公布本公司2026年第1季財務報告及2026年第2季業績展望。(2)參加方式：請參見https://investor.tsmc.com/chinese/quarterly-results/2026/q1","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://investor.tsmc.com/chinese/quarterly-results/2026/q1",同步收看網址：:https://investor.tsmc.com/chinese/quarterly-results/2026/q1 法說會影音連結資訊:未輸 ,"無。","查詢"
"2337","旺宏","115/04/27","16:00","線上法人說明會","旺宏電子2026年第一季營運成果報告","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://www.mxic.com.tw/zh-tw/about/investor-relations/Pages/quarterly-results.aspx",法說會影音連結資訊:未輸 ,"無","查詢"
"2353","宏碁","115/04/14 至 115/04/16","14:00","香港Conrad酒店","本公司受邀參加匯豐證券舉辦HSBC Global Investment Summit，將於上述時間地點，向法人投資者就已公開發佈之財務數字、經營績效等相關資訊做說明。","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","http://www.acer-group.com","","無","查詢"
"2359","所羅門","115/04/08","15:40","臺灣證券交易所(101大樓)1樓資訊展示中心","本公司受邀參加臺灣證券交易所舉辦之115年「AI產業」主題式業績發表會，說明本公司之營運概況、財務及業務相關資訊。","235920260408M001.pdf","235920260408E001.pdf","https://www.solomon.com.tw/shareholders/investor-conference/",法說會影音連結資訊:https://webpro.twse.com.tw/WebPortal/vod/101/CFEE97D2110A-B611081D-3322-11F1-9705/?categoryId=193 ,"無","查詢"
"2408","南亞科","115/04/13","15:00","線上法說會","2026年第1季營運狀況說明","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://www.nanya.com/tw/",法說會影音連結資訊:https://www.nanya.com/tw/IR/13/Investor Calendar?Year=2026 ,"無","查詢"
